File Name	Header	Dialogue	Box Type	Trigger	Additional Comments	Number
pop_up_50	"Solved"	"I figured it out, you know...You're special."	Exclamation	Fourth puzzle in progress	x	32
pop_up_51	"Solved"	"That much is obvious to me now."	Exclamation	Above	x	32
pop_up_52	Question"	"How are you feeling today?"	Question	Subsequent game start up	After climax	33
pop_up_53	"Hello"	"Good to see you."	Exclamation	Subsequent game start up	After climax	34
pop_up_54	"Ah..."	"You've returned once again."	Exclamation	Subsequent game start up	After climax	35
pop_up_55	"Hm..."	"I'm curious to see how long you'll stick around this time."	Exclamation	Subsequent game start up	Before climax	36
pop_up_56	"Wow"	"Your ability astounds me."	Exclamation	Fifth puzzle in progress	x	37
pop_up_57	"Up And About?"	"Have yourself a nice little walk, did you?"	Question	Location-based puzzle solved	x	38
pop_up_58	"Limber Up"	"Get a good stretch in before hand?	Question	Location-based puzzle solved	x	39
pop_up_59	"Up And About?"	"Quite a hike, huh?"	Question	Location-based puzzle solved	x	40
pop_up_60	"Run Along, Dear"	"It's all you're good for."	Exclamation	Location-based puzzle solved	x	41
pop_up_61	"Huh..."	"You're almost finished..."	Exclamation	Fifth puzzle in progress	x	42
pop_up_62	"Do You Wonder..."	"What happens after this?"	Question	Fifth puzzle in progress	x	42
pop_up_63	"I Think..."	"I might just miss you."	Exclamation	Fifth puzzle in progress	x	42
pop_up_64	"Question"	"Is this the end for us?"	Question	Fifth puzzle in progress	x	42
pop_up_65	"Knowledge"	"I've learned a lot in our time together."	Exclamation	Fifth puzzle in progress	x	42
pop_up_66	"Question"	"Will any part of you miss me?"	Question	Fifth puzzle in progress	x	42
